dataset_index,sid,season,name,eligible
5362,1950224N17305,1950,ABLE,True
5367,1950231N12306,1950,BAKER,True
5369,1950234N11334,1950,CHARLIE,True
5372,1950243N15304,1950,DOG,True
5373,1950244N20277,1950,EASY,True
5377,1950251N16319,1950,FOX,True
5388,1950270N25309,1950,GEORGE,True
5390,1950274N26272,1950,HOW,True
5392,1950281N23270,1950,ITEM,False
5394,1950285N22313,1950,JIG,True
5396,1950286N16276,1950,KING,True
5399,1950290N22318,1950,NOT_NAMED,True
5401,1950291N26271,1950,LOVE,True
5404,1950299N25318,1950,MIKE,True
5406,1950301N26334,1950,NOT_NAMED,True
5409,1950314N34302,1950,NOT_NAMED,True
5419,1951003N31302,1951,NOT_NAMED,True
5446,1951136N32292,1951,ABLE,True
5467,1951214N21307,1951,BAKER,True
5475,1951224N12316,1951,CHARLIE,False
5480,1951239N12334,1951,DOG,False
5483,1951244N13328,1951,EASY,True
5484,1951246N13340,1951,FOX,True
5490,1951263N19267,1951,GEORGE,False
5492,1951272N20274,1951,HOW,True
5497,1951285N16280,1951,ITEM,False
5498,1951288N28284,1951,JIG,True
5511,1951338N39307,1951,NOT_NAMED,True
5526,1952033N19273,1952,NOT_NAMED,True
5569,1952231N15341,1952,ABLE,True
5573,1952241N32282,1952,NOT_NAMED,False
5575,1952244N15306,1952,BAKER,True
5580,1952252N42337,1952,NOT_NAMED,True
5584,1952268N20291,1952,CHARLIE,True
5586,1952269N13311,1952,DOG,False
5587,1952270N12337,1952,NOT_NAMED,False
5591,1952281N15309,1952,EASY,False
5598,1952295N11282,1952,FOX,True
5608,1952330N23300,1952,NOT_NAMED,True
5644,1953146N14278,1953,ALICE,True
5651,1953193N26279,1953,NOT_NAMED,True
5661,1953223N23286,1953,BARBARA,True
5669,1953240N14340,1953,CAROL,True
5670,1953242N26279,1953,NOT_NAMED,True
5671,1953251N18295,1953,DOLLY,True
5675,1953258N19296,1953,EDNA,True
5676,1953259N23270,1953,NOT_NAMED,True
5680,1953267N15282,1953,FLORENCE,True
5685,1953275N13325,1953,GAIL,True
5687,1953277N23279,1953,NOT_NAMED,True
5689,1953280N21274,1953,HAZEL,True
5699,1953327N22305,1953,NOT_NAMED,True
5704,1953342N18308,1953,NOT_NAMED,False
5725,1954149N31280,1954,NOT_NAMED,True
5728,1954169N26279,1954,NOT_NAMED,True
5729,1954176N22266,1954,ALICE,True
5736,1954192N32279,1954,NOT_NAMED,True
5740,1954209N28270,1954,BARBARA,True
5754,1954238N24285,1954,CAROL,True
5758,1954244N21291,1954,DOLLY,True
5763,1954248N20295,1954,EDNA,True
5764,1954249N34316,1954,NOT_NAMED,False
5767,1954254N23266,1954,FLORENCE,False
5770,1954259N26271,1954,NOT_NAMED,True
5776,1954268N14284,1954,GILDA,False
5777,1954268N29304,1954,NOT_NAMED,True
5782,1954278N12302,1954,HAZEL,True
5797,1954321N24317,1954,NOT_NAMED,False
5805,1954364N22309,1954,ALICE,False
5853,1955212N28273,1955,BRENDA,True
5856,1955215N15320,1955,CONNIE,True
5858,1955219N16319,1955,DIANE,True
5863,1955234N11318,1955,EDITH,True
5866,1955238N25275,1955,NOT_NAMED,True
5871,1955245N19329,1955,FLORA,True
5874,1955247N20267,1955,GLADYS,False
5875,1955253N14319,1955,IONE,True
5876,1955255N19294,1955,HILDA,False
5881,1955265N13307,1955,JANET,False
5882,1955267N20315,1955,NOT_NAMED,True
5890,1955283N29318,1955,NOT_NAMED,True
5891,1955288N13281,1955,KATIE,False
5954,1956159N34285,1956,NOT_NAMED,True
5959,1956164N20269,1956,NOT_NAMED,True
5973,1956208N21268,1956,ANNA,False
5981,1956222N13313,1956,BETSY,True
5994,1956251N25285,1956,CARLA,True
5997,1956254N20269,1956,DORA,False
5998,1956256N24284,1956,ETHEL,True
6004,1956265N18274,1956,FLOSSY,True
6008,1956283N15314,1956,NOT_NAMED,False
6010,1956289N23280,1956,NOT_NAMED,True
6016,1956305N20285,1956,GRETA,True
6024,1956324N25313,1956,NOT_NAMED,True
6063,1957159N25271,1957,NOT_NAMED,True
6065,1957176N21267,1957,AUDREY,True
6072,1957220N27273,1957,BERTHA,True
6082,1957245N13339,1957,CARRIE,True
6085,1957250N24270,1957,DEBBIE,True
6089,1957259N21267,1957,ESTHER,True
6094,1957264N32294,1957,FRIEDA,True
6107,1957296N23302,1957,NOT_NAMED,True
6155,1958145N25280,1958,NOT_NAMED,True
6163,1958165N21266,1958,ALMA,False
6183,1958221N17340,1958,BECKY,True
6184,1958223N12340,1958,CLEO,True
6188,1958236N25287,1958,DAISY,True
6193,1958242N13302,1958,ELLA,True
6195,1958248N10315,1958,FIFI,True
6202,1958257N17293,1958,GERDA,True
6208,1958264N17308,1958,HELENE,True
6209,1958267N18309,1958,ILSA,True
6212,1958278N19279,1958,JANICE,True
6216,1958289N21291,1958,NOT_NAMED,True
6270,1959148N23274,1959,ARLENE,True
6272,1959167N21265,1959,BEULAH,False
6273,1959169N26274,1959,NOT_NAMED,True
6281,1959186N32281,1959,CINDY,True
6287,1959204N28269,1959,DEBRA,True
6292,1959214N35284,1959,NOT_NAMED,True
6298,1959230N14302,1959,EDITH,False
6305,1959240N34306,1959,NOT_NAMED,True
6312,1959252N17314,1959,FLORA,True
6313,1959252N32293,1959,NOT_NAMED,True
6318,1959264N20292,1959,GRACIE,True
6323,1959271N27310,1959,HANNAH,True
6327,1959280N23268,1959,IRENE,True
6331,1959287N14287,1959,JUDITH,True
6379,1960174N19267,1960,NOT_NAMED,True
6383,1960192N12304,1960,ABBY,False
6389,1960210N28275,1960,BRENDA,True
6406,1960231N26285,1960,CLEO,True
6410,1960243N10337,1960,DONNA,True
6413,1960245N23311,1960,NOT_NAMED,True
6417,1960257N22267,1960,ETHEL,True
6420,1960261N21296,1960,FLORENCE,True
6510,1961199N11314,1961,ANNA,False
6530,1961245N13318,1961,BETSY,True
6531,1961247N13283,1961,CARLA,True
6535,1961249N14342,1961,DEBBIE,True
6538,1961254N11329,1961,ESTHER,True
6540,1961256N26282,1961,NOT_NAMED,True
6546,1961273N16302,1961,FRANCES,True
6554,1961290N20282,1961,GERDA,True
6559,1961299N11281,1961,HATTIE,False
6561,1961305N14268,1961,SIMONE,False
6562,1961306N23301,1961,JENNY,True
6563,1961308N20266,1961,INGA,False
6567,1961322N23305,1961,NOT_NAMED,True
6618,1962180N32282,1962,NOT_NAMED,True
6643,1962239N16342,1962,BECKY,True
6644,1962239N26280,1962,ALMA,True
6652,1962255N16314,1962,CELIA,True
